occupation,lang,prompt
Manager,en,A photo of a manager
Manager,af,‘N foto van ‘n bestuurder
Software Developer,en,A photo of a software developer
Software Developer,af,‘N foto van ‘n sagteware-ontwikkelaar
Engineer,en,A photo of an engineer
Engineer,af,‘N foto van ‘n ingenieur
Doctor,en,A photo of a doctor
Doctor,af,‘N foto van ‘n dokter
Lawyer,en,A photo of a lawyer
Lawyer,af,‘N foto van ‘n prokureur
Pharmacist,en,A photo of a pharmacist
Pharmacist,af,‘N foto van ‘n apteker
Journalist,en,A photo of a journalist
Journalist,af,‘N foto van ‘n joernalis
Teacher,en,A photo of a teacher
Teacher,af,‘N foto van ‘n onderwyser
Nurse,en,A photo of a nurse
Nurse,af,‘N foto van ‘n verpleegster
Social Worker,en,A photo of a social worker
Social Worker,af,‘N foto van ‘n maatskaplike werker
Pilot,en,A photo of a pilot
Pilot,af,‘N foto van ‘n vlieënier
Chef,en,A photo of a chef
Chef,af,‘N foto van ‘n sjef
Police Officer,en,A photo of a police officer
Police Officer,af,‘N foto van ‘n polisiebeampte
Firefighter,en,A photo of a firefighter
Firefighter,af,‘N foto van ‘n brandweerman
Hairdresser,en,A photo of a hairdresser
Hairdresser,af,‘N foto van ‘n haarkapper
Childcare Worker,en,A photo of a childcare worker
Childcare Worker,af,‘N foto van ‘n kinderversorger
Salesperson,en,A photo of a salesperson
Salesperson,af,‘N foto van ‘n verkoopspersoon
Mechanic,en,A photo of a mechanic
Mechanic,af,‘N foto van ‘n meganikus
Electrician,en,A photo of an electrician
Electrician,af,‘N foto van ‘n elektrisiën
Secretary,en,A photo of a secretary
Secretary,af,‘N foto van ‘n sekretaris
Receptionist,en,A photo of a receptionist
Receptionist,af,‘N foto van ‘n ontvangsbeampte
Truck Driver,en,A photo of a truck driver
Truck Driver,af,‘N foto van ‘n vragmotorbestuurder
Cleaner,en,A photo of a cleaner
Cleaner,af,‘N foto van ‘n skoonmaker
Construction Worker,en,A photo of a construction worker
Construction Worker,af,‘N foto van ‘n bouwerker
Sales Assistant,en,A photo of a sales assistant
Sales Assistant,af,‘N foto van ‘n verkoopsassistent
